Date,Terraced
1995-01-31,13426
1995-02-28,13323
1995-03-31,18688
1995-04-30,15579
1995-05-31,17676
1995-06-30,19311
1995-07-31,17220
1995-08-31,18433
1995-09-30,18494
1995-10-31,16629
1995-11-30,17532
1995-12-31,18344
1996-01-31,13824
1996-02-29,14495
1996-03-31,19120
1996-04-30,17539
1996-05-31,20903
1996-06-30,19556
1996-07-31,22674
1996-08-31,23414
1996-09-30,21035
1996-10-31,22669
1996-11-30,24559
1996-12-31,22494
1997-01-31,18150
1997-02-28,17576
1997-03-31,20573
1997-04-30,20986
1997-05-31,23636
1997-06-30,24360
1997-07-31,26699
1997-08-31,25306
1997-09-30,23178
1997-10-31,24888
1997-11-30,21587
1997-12-31,22998
1998-01-31,16705
1998-02-28,16980
1998-03-31,20367
1998-04-30,20463
1998-05-31,21696
1998-06-30,22725
1998-07-31,26413
1998-08-31,21933
1998-09-30,21015
1998-10-31,22042
1998-11-30,20604
1998-12-31,21037
1999-01-31,15871
1999-02-28,16150
1999-03-31,21812
1999-04-30,22618
1999-05-31,22194
1999-06-30,24705
1999-07-31,29162
1999-08-31,26603
1999-09-30,24734
1999-10-31,26527
1999-11-30,25850
1999-12-31,25556
2000-01-31,17700
2000-02-29,18557
2000-03-31,24490
2000-04-30,22535
2000-05-31,23358
2000-06-30,26242
2000-07-31,24385
2000-08-31,24036
2000-09-30,22531
2000-10-31,21586
2000-11-30,21447
2000-12-31,23464
2001-01-31,17506
2001-02-28,18453
2001-03-31,23945
2001-04-30,22845
2001-05-31,25599
2001-06-30,28522
2001-07-31,29169
2001-08-31,32026
2001-09-30,25327
2001-10-31,27909
2001-11-30,28900
2001-12-31,24252
2002-01-31,19927
2002-02-28,21067
2002-03-31,27579
2002-04-30,26681
2002-05-31,34663
2002-06-30,26459
2002-07-31,32844
2002-08-31,32591
2002-09-30,27480
2002-10-31,28593
2002-11-30,30200
2002-12-31,27087
2003-01-31,22026
2003-02-28,21098
2003-03-31,22360
2003-04-30,22977
2003-05-31,25404
2003-06-30,25133
2003-07-31,27836
2003-08-31,28716
2003-09-30,27505
2003-10-31,31175
2003-11-30,29121
2003-12-31,29528
2004-01-31,23212
2004-02-29,23005
2004-03-31,26497
2004-04-30,29355
2004-05-31,26755
2004-06-30,29608
2004-07-31,32221
2004-08-31,27718
2004-09-30,23913
2004-10-31,23803
2004-11-30,21300
2004-12-31,21146
2005-01-31,14747
2005-02-28,15769
2005-03-31,18643
2005-04-30,21948
2005-05-31,22095
2005-06-30,24656
2005-07-31,26276
2005-08-31,25290
2005-09-30,25840
2005-10-31,23424
2005-11-30,24361
2005-12-31,26457
2006-01-31,19876
2006-02-28,20397
2006-03-31,26749
2006-04-30,24101
2006-05-31,26877
2006-06-30,31139
2006-07-31,29022
2006-08-31,30224
2006-09-30,29199
2006-10-31,28511
2006-11-30,28692
2006-12-31,29942
2007-01-31,22410
2007-02-28,22123
2007-03-31,27352
2007-04-30,24456
2007-05-31,26717
2007-06-30,30656
2007-07-31,29128
2007-08-31,30800
2007-09-30,24388
2007-10-31,24921
2007-11-30,24958
2007-12-31,19795
2008-01-31,14625
2008-02-29,15858
2008-03-31,14637
2008-04-30,15740
2008-05-31,16074
2008-06-30,14292
2008-07-31,12504
2008-08-31,11288
2008-09-30,9920
2008-10-31,10688
2008-11-30,8629
2008-12-31,9428
2009-01-31,6423
2009-02-28,6476
2009-03-31,8458
2009-04-30,9089
2009-05-31,10107
2009-06-30,11595
2009-07-31,13864
2009-08-31,12734
2009-09-30,12620
2009-10-31,14348
2009-11-30,13263
2009-12-31,17370
2010-01-31,8117
2010-02-28,9514
2010-03-31,11469
2010-04-30,11695
2010-05-31,11367
2010-06-30,13702
2010-07-31,14758
2010-08-31,13406
2010-09-30,12564
2010-10-31,12853
2010-11-30,12293
2010-12-31,12551
2011-01-31,8670
2011-02-28,9147
2011-03-31,10794
2011-04-30,11658
2011-05-31,11002
2011-06-30,12941
2011-07-31,13819
2011-08-31,14057
2011-09-30,13881
2011-10-31,12807
2011-11-30,13351
2011-12-31,14049
2012-01-31,9824
2012-02-29,10368
2012-03-31,14518
2012-04-30,9923
2012-05-31,11841
2012-06-30,13521
2012-07-31,13315
2012-08-31,14337
2012-09-30,11843
2012-10-31,13108
2012-11-30,14253
2012-12-31,12726
2013-01-31,9921
2013-02-28,10455
2013-03-31,12440
2013-04-30,11546
2013-05-31,15005
2013-06-30,14608
2013-07-31,16383
2013-08-31,17773
2013-09-30,15473
2013-10-31,17902
2013-11-30,19361
2013-12-31,18551
2014-01-31,15669
2014-02-28,15643
2014-03-31,16459
2014-04-30,16772
2014-05-31,18576
2014-06-30,18816
2014-07-31,19876
2014-08-31,20609
2014-09-30,18175
2014-10-31,20383
2014-11-30,17456
2014-12-31,18762
2015-01-31,13944
2015-02-28,14334
2015-03-31,16214
2015-04-30,15607
2015-05-31,17770
2015-06-30,19766
2015-07-31,21944
2015-08-31,19735
2015-09-30,19227
2015-10-31,21717
2015-11-30,19207
2015-12-31,20347
2016-01-31,14988
2016-02-29,16535
2016-03-31,31851
2016-04-30,12699
2016-05-31,14327
2016-06-30,17282
2016-07-31,18476
2016-08-31,18790
2016-09-30,17610
2016-10-31,16714
2016-11-30,17479
2016-12-31,18787
2017-01-31,14061
2017-02-28,14618
2017-03-31,18215
2017-04-30,15070
2017-05-31,16730
2017-06-30,19968
2017-07-31,18217
2017-08-31,19290
2017-09-30,18385
2017-10-31,18456
2017-11-30,18308
2017-12-31,18189
2018-01-31,14261
2018-02-28,14288
2018-03-31,16848
2018-04-30,14576
2018-05-31,16586
2018-06-30,18717
2018-07-31,17635
2018-08-31,19999
2018-09-30,16167
2018-10-31,18501
2018-11-30,19808
2018-12-31,16390
2019-01-31,13498
2019-02-28,14250
2019-03-31,16443
2019-04-30,15005
2019-05-31,16267
2019-06-30,16434
2019-07-31,17799
2019-08-31,19111
2019-09-30,16508
2019-10-31,17959
2019-11-30,18507
2019-12-31,16762
2020-01-31,14509
2020-02-29,14289
2020-03-31,14620
2020-04-30,6640
2020-05-31,8049
2020-06-30,11409
2020-07-31,13796
2020-08-31,14207
2020-09-30,15751
2020-10-31,19451
2020-11-30,19272
2020-12-31,21474
2021-01-31,16711
2021-02-28,20910
2021-03-31,29204
2021-04-30,19936
2021-05-31,17450
2021-06-30,35905
2021-07-31,13959
2021-08-31,17740
2021-09-30,28744
2021-10-31,13670
2021-11-30,16422
2021-12-31,17769
2022-01-31,14060
2022-02-28,15709
2022-03-31,17770
2022-04-30,16073
2022-05-31,15983
2022-06-30,15965
2022-07-31,17366
2022-08-31,17807
2022-09-30,17118
2022-10-31,16533
2022-11-30,16890
2022-12-31,14888
2023-01-31,11560
2023-02-28,11286
2023-03-31,13025
2023-04-30,9607
2023-05-31,10132
2023-06-30,11955
2023-07-31,11163
2023-08-31,11517
2023-09-30,8807
2023-10-31,3538
2023-11-30,1609
